"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051346","GO:0051346","negative regulation of hydrolase activity","131/5716","345/18614",0.00220920838485153,0.014209832352345,0.0097655522984602,"TFPI/ANOS1/PLAUR/DPEP1/HGF/SERPINB1/BIRC3/CD44/TIMP2/HDAC9/SPHK2/ROCK1/PTGS2/PICALM/LXN/APLP2/PPP1R15A/NOS1/GMIP/BIRC5/TGFB2/SERPIND1/PAPLN/CST3/PCSK1N/TIMP1/WFDC1/SLC39A14/PIH1D1/CARD8/RASA4/TFPI2/SERPINE1/VTN/CRYAB/APOC3/BIRC2/VEGFA/COL7A1/GNAI2/DHCR24/LEPR/RGS2/APOA1/CSTA/RECK/NCKAP1L/LRP1/PI3/SERPINB6/AMOT/PRDX5/IFI6/PZP/STYXL1/SH3BP4/PPP1R1B/LGALS3/NGF/ANXA1/MICAL1/SERPINE2/SPRY2/BIN1/KLF4/PI15/MAP2K5/THBS1/GCHFR/RAP1GDS1/BBS4/NOL3/ARRB2/AKT1/ECM1/AHSG/SNCA/SFRP2/TNFAIP8/BOD1/GPC3/SERPING1/SERPINH1/MGAT5/SPOCK1/CAST/PLA2R1/SH3RF1/CD109/WFDC8/CPAMD8/CSTB/GPSM1/COL6A3/PTX3/SPRY1/CTSB/NOS3/PPP1R36/SPINT1/RAG1/SERPINB7/MAPK7/A2ML1/SPINT2/ANGPTL4/SERPINA9/WFIKKN2/CST6/SFN/A2M/RPS6KA3/OVOS2/SPINK6/GAS6/SEMA4D/SERPINA3/PPP1R26/SRC/SERPINA1/SERPINB2/PLXNB3/FICD/PRMT6/CARD16/PLIN5/TNF/AQP1/SERPINB10/ANXA8L1/ANXA8",131
"GO:0072088","GO:0072088","nephron epithelium morphogenesis","36/5716","77/18614",0.00220992727097122,0.014209832352345,0.0097655522984602,"HOXA11/PKD1/SIX4/TMEM59L/GATA3/VEGFA/FGF1/HES1/WNT6/PKD2/SOX9/PAX8/GZF1/WNK4/SIX1/LIF/HOXD11/LAMA5/AGT/OSR1/GPC3/KIF26B/ILK/GREM1/GDNF/NPNT/SIX2/NOG/TACSTD2/WT1/PBX1/PTCH1/HES5/LGR4/FMN1/FOXD1",36
"GO:0050432","GO:0050432","catecholamine secretion","29/5716","59/18614",0.00226906401642572,0.0145755061194979,0.0100168576065568,"SYT7/SYT1/CHGA/CHRNA4/SYT17/RAB3A/STX1A/CXCL12/SYT5/SYT11/SYT6/AGT/SNCA/SYT8/PINK1/CHRNB2/GRM2/GDNF/P2RY1/GRK2/SYT12/SNCG/KCNA2/OXTR/ABAT/ADRA2C/SYT15/SYT3/ADRA2B",29
"GO:0002475","GO:0002475","antigen processing and presentation via MHC class Ib","15/5716","25/18614",0.00229003469199565,0.0146118559616567,0.0100418386391151,"ULBP1/ULBP2/ULBP3/RAET1L/CD1D/RAET1G/TAP2/MICB/MICA/HLA-C/HLA-E/HLA-G/HLA-F/HLA-A/HLA-B",15
"GO:0003071","GO:0003071","renal system process involved in regulation of systemic arterial blood pressure","15/5716","25/18614",0.00229003469199565,0.0146118559616567,0.0100418386391151,"CYBA/PCSK5/PDGFB/CORO2B/AGT/EDNRB/AGTR1/PTPRO/ADORA1/F2RL1/HSD11B2/F2R/GAS6/SUCNR1/GJA5",15
"GO:0046697","GO:0046697","decidualization","15/5716","25/18614",0.00229003469199565,0.0146118559616567,0.0100418386391151,"PTGS2/PTN/VDR/PPARD/STC2/SPP1/NDP/LIF/PARP2/PARP1/STC1/TPPP3/CTSB/JUNB/EPOR",15
"GO:0072273","GO:0072273","metanephric nephron morphogenesis","15/5716","25/18614",0.00229003469199565,0.0146118559616567,0.0100418386391151,"PKD1/PDGFRB/HES1/PKD2/SOX9/PAX8/LIF/KIF26B/GREM1/GDNF/SIX2/WT1/HES5/LGR4/FMN1",15
"GO:2000311","GO:2000311","regulation of AMPA receptor activity","15/5716","25/18614",0.00229003469199565,0.0146118559616567,0.0100418386391151,"CACNG3/CACNG5/CACNG4/MEF2C/CACNG8/SHANK1/ADRB2/CNIH2/SHISA7/SHISA6/RELN/NLGN3/ARC/PRRT1/SHANK3",15
"GO:0045103","GO:0045103","intermediate filament-based process","42/5716","93/18614",0.00229062998590202,0.0146118559616567,0.0100418386391151,"KRT33A/VIM/PKP2/PKP1/DSP/NEFH/KRT18/ERBIN/KLHL24/BFSP1/KRT36/MACF1/KRT17/KRT34/KRT33B/NES/KRT7/KRT71/INA/DST/NDEL1/KRT80/EVPL/KRT86/KRT75/KRT4/KRT83/MTM1/KRT15/KRT9/KRT28/DES/PLEC/FAM83H/SYNM/KRT79/KRT3/KRT14/KRT12/KRT81/EPPK1/NEFL",42
"GO:0050886","GO:0050886","endocrine process","42/5716","93/18614",0.00229062998590202,0.0146118559616567,0.0100418386391151,"CYBA/GAL/RPS6KA2/EDN1/PCSK5/TSPO/CTSZ/GATA3/TACR1/ECE1/SPP1/INHBA/IL1B/WNK4/AVPR2/EDN2/CGA/RAB11FIP5/AGT/EDNRB/NIBAN2/TMF1/AGTR1/CORIN/DAB2/RAB11FIP1/ACE/INHBB/F2RL1/NOS3/RAB8B/NKX3-1/KISS1/C1QTNF1/HSD11B2/OXTR/F2R/HCAR2/SUCNR1/SELENOM/AQP1/FOXD1",42
"GO:1904646","GO:1904646","cellular response to amyloid-beta","23/5716","44/18614",0.00229501403868058,0.0146253124566067,0.0100510864685004,"FYN/IGF1/NGFR/CACNB1/PSEN1/ICAM1/LGMN/ATP1A3/ITGA4/EPHA4/LRP1/TLR4/IGF1R/CACNA1A/PARP1/VCAM1/CDK5/ADRB2/PRNP/BACE1/CASP4/AGER/TNF",23
"GO:0032892","GO:0032892","positive regulation of organic acid transport","25/5716","49/18614",0.00233512871218648,0.0148515109983769,0.0102065389491997,"EDN1/PSEN1/P2RX7/PLA2G3/NTSR1/SLC7A5/MAP2K6/IL1A/RAB3GAP1/PLA2G4A/KMO/FABP3/IL1B/P2RX4/AGT/STXBP1/TNFRSF11A/PTGES/ITGB1/ACSL1/PLA2R1/TRH/ABAT/PLA2G6/ACSL5",25
"GO:0140895","GO:0140895","cell surface toll-like receptor signaling pathway","25/5716","49/18614",0.00233512871218648,0.0148515109983769,0.0102065389491997,"TNIP3/CYBA/OAS1/NFKBIA/RIPK2/TNFAIP3/NMI/LBP/NINJ1/PTPN22/APPL2/TLR4/TIRAP/LY96/APPL1/F2RL1/TNIP2/CD14/PRKCE/IRAK1/S100A14/LILRA2/TICAM2/LYN/TRIL",25
"GO:0001935","GO:0001935","endothelial cell proliferation","81/5716","201/18614",0.00234114686181122,0.0148750734401642,0.010222731980324,"FLT4/CYBA/NGFR/TIE1/MYDGF/FGFR1/MEF2C/APOH/NRP1/HMOX1/PDGFB/HIF1A/FLT1/CAV2/CAV1/TGFBR1/CXCL12/CCL2/MDK/VEGFA/SEMA5A/SPARC/WNT5A/ITGA4/AKT3/F3/APOA1/NRP2/PGF/TEK/STAT5A/KDR/APOE/LOXL2/CNMD/FGFBP1/SULF1/THBS1/EGF/ACVRL1/CDH13/AKT1/EPHA2/PROK1/ECM1/AGTR1/VEGFC/PRKCA/MMP14/PROK2/HMGB2/VSTM4/IGF2/STAT3/IL12A/ATOH8/APLN/PIK3CD/SCG2/PRL/EGFL7/VEGFB/CD34/POLD4/JUN/ERN1/GATA2/EGR3/PRKD1/NR2F2/SP1/HMGB1/NRARP/PLXNB3/MIR27B/MIR503/ANG/TNF/TNFSF12/APELA/ITGB3",81
"GO:0003338","GO:0003338","metanephros morphogenesis","18/5716","32/18614",0.00235308252113379,0.0148799256493953,0.0102260666081954,"PKD1/PDGFRB/HES1/PKD2/SOX9/PAX8/LIF/FRAS1/KIF26B/GREM1/GDNF/SIX2/BASP1/WT1/WNT7B/HES5/LGR4/FMN1",18
"GO:0003382","GO:0003382","epithelial cell morphogenesis","18/5716","32/18614",0.00235308252113379,0.0148799256493953,0.0102260666081954,"ROCK1/FAT1/SIPA1L3/MET/PLOD3/ARHGEF26/BCL11B/PALLD/FLNB/FRMD6/ST14/STC1/DACT2/SPINT2/CLIC4/HEG1/RILPL1/SIPA1",18
"GO:0007435","GO:0007435","salivary gland morphogenesis","18/5716","32/18614",0.00235308252113379,0.0148799256493953,0.0102260666081954,"PLXND1/SNAI2/HGF/NTN4/SEMA3C/TGFB2/NRP1/LAMA1/PLXNA1/TWSG1/LAMA5/EGFR/NFIB/EDA/NKX3-1/PDGFA/TGM2/TNF",18
"GO:0060055","GO:0060055","angiogenesis involved in wound healing","18/5716","32/18614",0.00235308252113379,0.0148799256493953,0.0102260666081954,"CX3CL1/MCAM/B4GALT1/XBP1/SERPINE1/SMOC2/VEGFA/TNFAIP3/CXCR4/KDR/PRCP/NPR2/CD34/FOXC2/GATA2/TAFA5/TNF/ITGB3",18
"GO:0071677","GO:0071677","positive regulation of mononuclear cell migration","34/5716","72/18614",0.0023534812419028,0.0148799256493953,0.0102260666081954,"LGMN/CD99L2/SERPINE1/CREB3/CXCL12/C1QBP/CCL7/NEDD9/CCR6/WNT5A/CCL20/ITGA4/SLAMF1/TNFSF18/CCR7/LGALS3/ADAM10/ABL2/JAM2/TNFRSF14/IL12A/ANO6/CALR/DEFB124/GAS6/CSF1/S100A14/HMGB1/CD47/STK39/AGER/TNF/ITGB3/CCL5",34
"GO:1905954","GO:1905954","positive regulation of lipid localization","49/5716","112/18614",0.00237499718228977,0.0150012101003175,0.0103094180242503,"GAL/ACACB/EDN1/P2RX7/ZDHHC8/PLA2G3/NFKBIA/NTSR1/LIPG/PLIN3/CAV1/MAP2K6/NFKB1/EHD1/IL1A/PLA2G4A/APOA1/SPP1/FABP3/EEPD1/LRP1/IL1B/C3/APOE/P2RX4/HILPDA/TNFRSF11A/TMF1/PLIN2/PTGES/ACSL1/DAB2/PLA2R1/LDLRAP1/ZC3H12A/PRKCD/ABCA1/NKX3-1/ABCA3/C1QTNF1/LPL/ABCA13/ANXA2/PLA2G6/PTCH1/ACSL5/CES1/PLIN5/IKBKE",49
"GO:0002699","GO:0002699","positive regulation of immune effector process","104/5716","267/18614",0.00237912494605182,0.0150125352336734,0.0103172010986267,"GAB2/SPHK2/PVR/STXBP2/IL4R/STX7/PTPRC/P2RX7/MSH2/PLA2G3/XBP1/HMOX1/SLC7A5/STX4/RIPK2/LILRB1/NOD1/RIGI/SHB/GATA3/DHX58/CLNK/PANX1/CD81/ULBP1/WNT5A/IL1R1/SLAMF1/TNFSF4/NR4A3/IL13RA2/IL1B/C3/CFP/ADGRE2/TICAM1/RAC2/DNAJB9/LBP/ULBP2/ULBP3/PTPN22/ANXA1/APPL2/IL6/HLX/STXBP1/TLR4/DDX60/RBP4/SEMA7A/VAV1/BCL10/NFKBIZ/PTPRJ/CD226/IL18/FER/MR1/ENPP3/RABGEF1/RAET1L/HK1/PAXIP1/TNFRSF14/CD1D/SPON2/ITGB2/LAPTM5/MAPKAPK2/FZD5/F2RL1/MBL2/IL12A/ITGAM/ADORA2B/CLEC7A/STAT5B/CLCF1/ATAD5/GATA2/LACC1/FES/CADM1/LAMP1/ZP3/CD55/MYO18A/ARID5A/RAET1G/TAP2/MICB/MICA/HLA-C/HLA-E/HLA-G/HLA-F/KLRC3/HLA-A/TNF/HLA-B/HLA-DMB/TICAM2/LYN",104
"GO:0030336","GO:0030336","negative regulation of cell migration","141/5716","375/18614",0.00238269105852121,0.0150202975551876,0.0103225356694242,"CX3CL1/TBXA2R/FUZ/DPEP1/ARID4A/VCL/NEXMIF/ATP2B4/NGFR/CNN2/TIE1/SP100/NAV3/PFN2/PTPN23/MEF2C/CHRD/APOH/ANGPT2/CARD10/PATZ1/HMOX1/RIN3/JAG1/SMAD7/TIMP1/NDRG4/SFRP1/SERPINE1/MEOX2/C5/ENG/KANK1/CXCL12/BMPR1A/CCL2/NHERF1/CORO1C/NEDD9/ADTRP/RIPOR2/PPARD/BMP5/DPYSL3/IGFBP5/EPHA4/GADD45A/PADI2/DUSP1/RECK/LRP1/TNFAIP6/GPR18/RRAS/ATP1B2/APOE/AFDN/EMILIN2/STARD13/STK26/C5AR2/KLF4/CCN3/SULF1/MAP2K5/THBS1/SEMA6D/CYP1B1/EMILIN1/TET1/SINHCAF/ACVRL1/TPM1/MARVELD3/MYOCD/AKT1/ADAM15/RHOB/PTPRG/PHLDB2/SFRP2/GNA12/IGFBP3/EPHA1/PTPRJ/PTPRR/RABGEF1/SLAMF8/NBL1/MICOS10-NBL1/STC1/CYGB/RBBP4/IL24/ADORA1/ADAMTS9/ABHD6/SAP30/DLC1/TP53INP1/SPRED1/BMERB1/GREM1/PIP5KL1/COL3A1/STAT3/LDLRAD4/CLIC4/MCC/SCAI/PODN/GCSAM/MCTP1/SVBP/CALR/MAPK15/RAP2B/ADGRB1/PLCB1/NOG/TACSTD2/PRKG1/NR2F2/IFITM1/NF2/BCR/MAGI2/APOD/ARID2/HMGB1/ADA/SRGAP1/ADARB1/PLXNB3/ADGRG1/MIR221/MIR503/TAFA5/TNF/EPPK1/DACH1",141
"GO:0046546","GO:0046546","development of primary male sexual characteristics","61/5716","145/18614",0.00240253257298795,0.0151159711081657,0.0103882862752033,"HOXA11/MAMLD1/ARID4A/CTNNA1/KITLG/ASPM/TFAP2C/TGFB2/MSH2/PATZ1/BIK/SIX4/REC8/SFRP1/LHB/NUDT1/TGFBR1/GATA3/CCND1/PDGFRB/WNT5A/IL1A/SDC1/KIF18A/TNFSF10/ACVR2A/INHBA/SOX9/NASP/PDGFRA/CYP1B1/SCAPER/GATA6/LHX9/ADAM15/RAB13/TMF1/SFRP2/LHFPL2/ARID5B/FER/GFRA1/MMP14/ACE/INHBB/HMGB2/SGPL1/NKX3-1/NR0B1/ZFPM2/BCL2L1/NUPR1/BOK/TEX19/WT1/AKR1C3/PDGFA/NTRK1/ADGRG1/SCX/NCOA4",61
"GO:0043281","GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process","82/5716","204/18614",0.00240256959137563,0.0151159711081657,0.0103882862752033,"BAD/PLAUR/DPEP1/HGF/NLRP2/BIRC3/FAS/CD44/BAK1/NGFR/TP63/PTGS2/BIRC5/TFAP4/NLRP1/PIH1D1/CARD8/NOD1/SLC1A1/P2RX1/CRYAB/BIRC2/VEGFA/DAP/FAM162A/DHCR24/F3/CTSD/CCN2/TNFSF10/PRDX5/IFI6/HIP1/HIP1R/PRR7/EPHA7/MICAL1/KLF4/MAP2K5/THBS1/BCL2L10/PML/NOL3/ARRB2/PMAIP1/AKT1/BCL10/CCN1/ARL6IP5/SNCA/SFRP2/TNFAIP8/GSN/SH3RF1/LAPTM5/DLC1/GPER1/RAG1/SMAD3/NKX3-1/CRADD/EIF2AK3/CLEC7A/SFN/BOK/RPS6KA3/PIDD1/ST20/F2R/SOX2/TNFSF15/GAS6/MAPT/HMGB1/DAPK1/SRC/MAP3K5/CARD16/MIR27B/TNF/AQP1/BLID",82
"GO:0110020","GO:0110020","regulation of actomyosin structure organization","46/5716","104/18614",0.00244129584261959,0.0153446063226237,0.0105454133326306,"ARHGEF5/ROCK1/PFN2/CDC42/FERMT2/ARHGEF10L/EDN1/RAPGEF3/ASAP3/PXN/NRP1/CORO2B/TJP1/SFRP1/ARHGEF10/MET/LIMK1/TGFBR1/TESK1/PFN1/ECT2/TACR1/ALMS1/STMN1/APOA1/CCN2/SORBS3/SDC4/FHOD1/TPM1/BBS4/PHLDB2/EPHA1/PAK1/RHOC/RHPN1/DLC1/SMAD3/AKAP13/S1PR1/PPM1E/ACTG1/TACSTD2/NF2/CD47/S100A10",46
"GO:2000146","GO:2000146","negative regulation of cell motility","146/5716","390/18614",0.00245559076673574,0.0154193834278426,0.0105968030826034,"CX3CL1/TBXA2R/FUZ/DPEP1/ARID4A/VCL/CTNNA1/NEXMIF/ATP2B4/NGFR/CNN2/TIE1/SP100/NAV3/PFN2/PTPN23/FBLN1/MEF2C/CHRD/APOH/ANGPT2/CARD10/PATZ1/HMOX1/RIN3/JAG1/SMAD7/TIMP1/NDRG4/SFRP1/SERPINE1/MEOX2/C5/ENG/KANK1/GATA3/CXCL12/BMPR1A/CCL2/NHERF1/CORO1C/NEDD9/ADTRP/RIPOR2/PPARD/BMP5/DPYSL3/IGFBP5/EPHA4/GADD45A/PADI2/DUSP1/RECK/LRP1/TNFAIP6/GPR18/RRAS/ATP1B2/APOE/AFDN/EMILIN2/STARD13/STK26/C5AR2/KLF4/CCN3/SULF1/MAP2K5/THBS1/SEMA6D/CYP1B1/EMILIN1/TET1/SINHCAF/ACVRL1/TPM1/MARVELD3/MYOCD/AKT1/ADAM15/RHOB/PTPRG/PHLDB2/SFRP2/GNA12/IGFBP3/EPHA1/PTPRJ/PTPRR/RABGEF1/SLAMF8/NBL1/MICOS10-NBL1/STC1/CYGB/RBBP4/IL24/ADORA1/ADAMTS9/ABHD6/SAP30/DLC1/TP53INP1/SPRED1/BMERB1/GREM1/PIP5KL1/SPINT2/COL3A1/STAT3/LDLRAD4/CLIC4/MCC/FRMD5/SCAI/PODN/GCSAM/MCTP1/SVBP/CALR/MAPK15/RAP2B/ADGRB1/PLCB1/NOG/TACSTD2/PRKG1/NR2F2/IFITM1/NF2/BCR/MAGI2/APOD/ARID2/HMGB1/ADA/SRGAP1/ADARB1/PLXNB3/ADGRG1/MIR221/MIR503/TAFA5/TNF/EPPK1/DACH1",146
"GO:0072171","GO:0072171","mesonephric tubule morphogenesis","32/5716","67/18614",0.00248964518965828,0.0156179693361002,0.0107332790820903,"HOXA11/SIX4/TMEM59L/GATA3/VEGFA/FGF1/HES1/WNT6/PKD2/SOX9/PAX8/GZF1/SIX1/HOXD11/LAMA5/AGT/OSR1/GPC3/KIF26B/ILK/GREM1/GDNF/NPNT/SIX2/NOG/TACSTD2/WT1/PBX1/PTCH1/LGR4/FMN1/FOXD1",32
"GO:0051261","GO:0051261","protein depolymerization","50/5716","115/18614",0.00252706388753211,0.0158218313503714,0.0108733810278889,"STMN4/SPAST/LIMA1/NAV3/SPTB/WDR1/ADD2/ACTN2/CAPZB/TRIOBP/SEMA5A/APC2/SPTBN1/DNAJC6/STMN1/KIF18A/DSTN/TMOD2/FGF13/MAP1S/MAP1B/NES/SWAP70/MICAL2/MICAL1/CKAP2/SPTBN5/TRIM54/SH3GL3/KATNB1/KIF2C/GSN/EPS8/PLEKHH2/TMOD4/LMOD1/F2RL1/CFL2/HDGFL3/BMERB1/CFL1/FLII/CIB1/KIF18B/KIF24/SVIL/ASPH/CAPZA2/PDXP/TWF2",50
"GO:1903707","GO:1903707","negative regulation of hemopoiesis","50/5716","115/18614",0.00252706388753211,0.0158218313503714,0.0108733810278889,"SNAI2/HMGB3/FSTL3/IL4R/GPR137B/CEACAM1/SMAD7/SFRP1/LILRB1/CDK6/TMEM176B/MDK/LOXL3/ID2/TNFSF4/GPR68/TNFSF18/INHBA/TNFAIP6/IRF1/FGL2/LRRC17/ZBTB46/ANXA1/DTX1/HLX/TLR4/ERBB2/UBASH3B/RUNX1/ZBTB7B/PGLYRP2/ZC3H12A/TNFRSF11B/SLC4A2/FBN1/PRDX2/INPP5D/IL17D/GATA2/ZFPM1/SOCS1/HMGB1/ZNF675/NRARP/MAFB/HLA-G/MIR221/CEBPA/LYN",50
"GO:0001659","GO:0001659","temperature homeostasis","73/5716","179/18614",0.00259924766520005,0.0162579401626813,0.0111730920525392,"YBX2/ADRB1/PTGER3/ACADVL/PTGS2/IL4R/NRDC/SCD/NTSR1/NOVA2/CAV1/MAP2K6/PPARGC1A/VEGFA/LAMA4/LNPEP/PRLR/ACVR2B/IL1A/EPAS1/ALMS1/DOCK7/LEPR/MFAP2/EGR1/CXCR4/G0S2/IL1B/THRA/EDN2/SLC27A1/PER2/BMAL1/APPL2/EDNRB/TLR4/HADH/NOVA1/IGF1R/PCTP/TNFRSF11A/TRPM2/PRDM16/TRPM8/PDGFC/PTGES/IL18/FOXO1/ACSL1/PPARGC1B/ZBTB7B/SQSTM1/NAPEPLD/ALPL/ADORA1/ABHD6/IL15/FABP5/ALDH1A1/STAT3/ADRB2/FABP4/KSR2/GATM/PWWP2B/CEBPB/CMKLR1/FOXC2/OXTR/ABAT/ADRB3/LGR4/TNF",73
"GO:0044319","GO:0044319","wound healing, spreading of cells","20/5716","37/18614",0.00260467755120576,0.0162602685963622,0.0111746922431904,"CD44/FERMT2/CEACAM1/FERMT1/HBEGF/MSX2/COL5A1/ARHGAP24/ACVRL1/CCN1/PHLDB2/ITGB1/WNT7A/RHOC/ITGA5/CD151/FLNA/DDR1/MIR221/MMP12",20
"GO:0090505","GO:0090505","epiboly involved in wound healing","20/5716","37/18614",0.00260467755120576,0.0162602685963622,0.0111746922431904,"CD44/FERMT2/CEACAM1/FERMT1/HBEGF/MSX2/COL5A1/ARHGAP24/ACVRL1/CCN1/PHLDB2/ITGB1/WNT7A/RHOC/ITGA5/CD151/FLNA/DDR1/MIR221/MMP12",20
"GO:0022617","GO:0022617","extracellular matrix disassembly","30/5716","62/18614",0.00261186732379876,0.0162663532869738,0.0111788738804479,"FSCN1/FAP/MMP2/KIF9/MMP11/CST3/MMP15/MMP8/MMP19/LRP1/LAMC1/LCP1/IL6/CTSV/MMP13/ADAM10/FURIN/ADAM15/MMP3/MMP14/ADAMTS4/FGFR4/CTSS/PBXIP1/MELTF/ADAMTS15/TPSAB1/MMP1/DDR1/MMP12",30
"GO:0045428","GO:0045428","regulation of nitric oxide biosynthetic process","30/5716","62/18614",0.00261186732379876,0.0162663532869738,0.0111788738804479,"ATP2B4/PTGS2/EDN1/TSPO/ACP5/CAV1/MMP8/PKD2/CLU/IL1B/ASL/KLF2/TICAM1/ASS1/P2RX4/AGT/KLF4/TLR4/AKT1/DDAH1/PTX3/ZC3H12A/SMAD3/CLEC7A/CD34/CD47/SIRPA/NOS1AP/DDAH2/TNF",30
"GO:1903844","GO:1903844","regulation of cellular response to transforming growth factor beta stimulus","63/5716","151/18614",0.00261324151562114,0.0162663532869738,0.0111788738804479,"CFLAR/ITGA3/ARID4A/HSPA5/LTBP1/DKK3/HIPK2/TGFBR3/PALS1/ITGA8/GLG1/FERMT1/SMAD7/CAV2/CAV1/ASPN/ENG/MTMR4/SMURF2/SNX25/FOLR1/LOX/ONECUT2/GIPC1/PMEPA1/RASL11B/SPRY2/THBS1/EMILIN1/TET1/CILP/SINHCAF/TGFB1I1/MYOCD/PRDM16/DLX1/IL17RD/LATS2/DAB2/CD109/RBBP4/SPRY1/SAP30/HTRA1/SPRED1/FBN1/SMAD3/VASN/TNXB/LDLRAD4/NPNT/CHST11/WFIKKN2/NRROS/SOX11/BCL9L/PPARA/SPRED3/VEPH1/SLC2A10/SMURF1/HSPA1A/PEG10",63
"GO:0072078","GO:0072078","nephron tubule morphogenesis","35/5716","75/18614",0.00262644634346384,0.0163327369327587,0.0112244953169716,"HOXA11/PKD1/SIX4/TMEM59L/GATA3/VEGFA/FGF1/HES1/WNT6/PKD2/SOX9/PAX8/GZF1/WNK4/SIX1/HOXD11/LAMA5/AGT/OSR1/GPC3/KIF26B/ILK/GREM1/GDNF/NPNT/SIX2/NOG/TACSTD2/WT1/PBX1/PTCH1/HES5/LGR4/FMN1/FOXD1",35
"GO:0002070","GO:0002070","epithelial cell maturation","14/5716","23/18614",0.00265317067302415,0.0163565555393531,0.0112408643945656,"AKR1B1/HIF1A/TFCP2L1/EPAS1/KDR/FOXA1/SIX3/HOXB13/FZD5/NKX6-1/TYMS/GATA2/BHLHA15/CEBPA",14
"GO:0006883","GO:0006883","intracellular sodium ion homeostasis","14/5716","23/18614",0.00265317067302415,0.0163565555393531,0.0112408643945656,"ATP1A2/ATP1B3/ATP12A/SLC1A3/ATP1A3/SCNN1A/IL1A/ATP1B2/AGT/FXYD2/ATP1B1/TMPRSS3/SCNN1G/SCNN1B",14
"GO:0032891","GO:0032891","negative regulation of organic acid transport","14/5716","23/18614",0.00265317067302415,0.0163565555393531,0.0112408643945656,"RGS2/RGS4/THBS1/AKT1/ARL6IP5/SLC43A1/PLA2R1/ADORA1/NPY5R/SLC43A2/TRH/ABAT/IRS2/TNF",14
"GO:0035988","GO:0035988","chondrocyte proliferation","14/5716","23/18614",0.00265317067302415,0.0163565555393531,0.0112408643945656,"SMAD7/COMP/CCN2/SOX9/CCN3/BMPR1B/LEF1/MMP16/MMP14/STC1/NPR2/PBXIP1/SIX2/EXT1",14
"GO:0036303","GO:0036303","lymph vessel morphogenesis","14/5716","23/18614",0.00265317067302415,0.0163565555393531,0.0112408643945656,"PKD1/FLT4/FOXC1/TIE1/PPP3CB/VEGFA/ACVR2B/ACVRL1/EPHA2/VEGFC/SVEP1/FOXC2/CCBE1/SOX18",14
"GO:0061042","GO:0061042","vascular wound healing","14/5716","23/18614",0.00265317067302415,0.0163565555393531,0.0112408643945656,"MCAM/XBP1/SERPINE1/SMOC2/VEGFA/TNFAIP3/CXCR4/KDR/NPR2/CD34/FOXC2/GATA2/TAFA5/TNF",14
"GO:0072243","GO:0072243","metanephric nephron epithelium development","14/5716","23/18614",0.00265317067302415,0.0163565555393531,0.0112408643945656,"PKD1/WWTR1/HES1/PKD2/SOX9/PAX8/LIF/OSR1/LAMB2/WNT7B/HES5/POU3F3/LGR4/AQP1",14
"GO:0097150","GO:0097150","neuronal stem cell population maintenance","14/5716","23/18614",0.00265317067302415,0.0163565555393531,0.0112408643945656,"ASPM/SRRT/JAG1/HES1/PRRX1/MMP24/FANCD2/FOXO1/IGF2BP1/HOOK3/CDH2/SOX2/HES5/DLL1",14
"GO:2000178","GO:2000178","negative regulation of neural precursor cell proliferation","14/5716","23/18614",0.00265317067302415,0.0163565555393531,0.0112408643945656,"CTNNA1/SIRT2/LIMS2/KIFAP3/PTN/WNT5A/APPL2/SLC16A2/VAX1/BTG2/SPINT1/ILK/SPINT2/GATA2",14
"GO:0033673","GO:0033673","negative regulation of kinase activity","94/5716","239/18614",0.00267303540495907,0.0164632353006579,0.0113141788969734,"PRKAR2B/IBTK/MVP/GPRC5A/WWTR1/IPO5/PPP2R5A/LRP6/TRIB2/CEACAM1/PSEN1/PTPRC/GCKR/TFAP4/GADD45B/PIK3IP1/SFRP1/RASIP1/CAV1/HSPB1/PRKAG2/TESK1/SHB/DVL1/CORO1C/SH2B3/CDKN1B/STK38/CBLB/ERRFI1/GADD45A/RGS2/TNFAIP3/DUSP1/CDKN2C/PKN1/CDKN1A/IL1B/WNK4/PTPRB/APOE/CEP85/PPP1R1B/PTPN22/PKIB/AGT/SPRY2/CDK5RAP2/PTPRQ/WARS1/MYOCD/AKT1/SNCA/SFRP2/EPHA1/PTPRJ/LATS2/PDCD4/PIP4K2A/PTPRO/HHEX/UBASH3B/DEPTOR/ADCY8/GIP/CAMK2N1/DUSP19/CAMK2N2/PRKCD/SPRY1/DUSP7/CASP3/SPRED1/COX11/SMPD1/PLK1/PKIG/FABP4/HEG1/PPM1E/SFN/PLEC/NPM1/NR2F2/IRS2/NF2/MAPT/SPRY4/PRKAR1B/INCA1/ZNF675/ADARB1/CEBPA/LYN",94
"GO:0006493","GO:0006493","protein O-linked glycosylation","44/5716","99/18614",0.00267570907237505,0.016463932378346,0.0113146579560115,"ST3GAL1/ST6GALNAC2/ST6GAL1/POMGNT1/GALNT16/PLOD3/ST3GAL4/GALNT3/A4GALT/POMT1/TMTC1/POGLUT2/GALNT5/ST6GALNAC4/TET1/GALNT6/GALNT1/GALNT2/ST8SIA6/B3GNT7/GALNT14/B3GALT2/EOGT/IL15/GALNT10/MGAT5B/B3GNT2/C1GALT1C1/B3GALT1/FUT9/GXYLT2/VEGFB/GALNTL6/B4GAT1/TMTC2/FKRP/SLC35C1/GALNT9/POMK/POFUT2/B3GLCT/CRPPA/C1GALT1C1L/B3GALT4",44
